,材料,试批号,实验屈服值,实验抗拉值,实验伸长率,牌号,钢种,出炉温度,加热时间,板坯厚度,中间坯厚度,粗轧压下率,精轧开轧温度,终轧温度,成品厚度,粗轧压缩比,精轧压缩比,C,Si,Mn,AlT,Nb,V,Ti,Ni,Cu,Cr,Mo,P,S,Ceq,Pcm,温度差
1,0C14L55400,0LL004315300,305,439,41,AB/A,ZF4H6100,1201,12858,264,75,0.26,984,822,15,3.52,5,0.16,0.09,0.52,0.03,0.002,0,0.002,0.02,0.03,0.06,0.01,0.014,0.0052,0.264,0.716666667,162
2,0C14L55800,0LL004315400,302,433,37.5,AB/A,ZF4H6100,1201,12858,264,75,0.26,984,822,15,3.52,5,0.16,0.09,0.52,0.03,0.002,0,0.002,0.02,0.03,0.06,0.01,0.014,0.0052,0.264,0.716666667,162
3,0C18N35A00,0LL004733600,341,450,24,AB/A,ZF4H6100,1191,14695,264,75,0.227,1041,825,12,3.52,6.25,0.17,0.11,0.54,0.02,0,0,0.001,0.02,0.03,0.05,0.01,0.01,0.0066,0.275333333,0.746833333,216
4,0C18N35500,0LL004734900,315,453,35,AB/A,ZF4H6100,1191,14695,264,75,0.227,1041,825,12,3.52,6.25,0.17,0.11,0.54,0.02,0,0,0.001,0.02,0.03,0.05,0.01,0.01,0.0066,0.275333333,0.746833333,216
5,0C26L33200,0LL006724000,316,445,35.5,AB/A,ZF4H7100,1195,12854,264,75,0.259,994,845,16.5,3.52,4.545,0.14,0.11,0.62,0.026,0,0,0.002,0.02,0.04,0.05,0,0.021,0.0069,0.257333333,0.806166667,149
6,0C22M81300,0LL006905500,363,467,36.5,AB/A,ZF4H6100,1255,12820,150,69.99,0.158,1136,870,7,2.143,9.999,0.17,0.1,0.52,0.028,0.001,0,0.002,0.02,0.05,0.03,0,0.012,0.003,0.267333333,0.744833333,266
7,1103M93300,0LL007004300,343,455,43.5,AB/A,ZF4H6100,1260,13336,120,69.91,0.067,1113,853,6.2,1.716,11.276,0.16,0.11,0.52,0.028,0.001,0,0.001,0.02,0.03,0.04,0.01,0.017,0.004,0.26,0.716333333,260
8,0C31P20600,0LL007758400,319,456,35,AB/A,ZF4H6100,1192,12625,264,69.99,0.271,985,831,18.2,3.772,3.846,0.18,0.14,0.54,0.026,0.001,0,0.003,0.02,0.02,0.03,0.02,0.014,0.005,0.282666667,0.7475,154
9,0C31P20600,1LL000000200,348,465,31.5,AB/A,ZF4H6100,1192,12625,264,69.99,0.271,985,831,18.2,3.772,3.846,0.18,0.14,0.54,0.026,0.001,0,0.003,0.02,0.02,0.03,0.02,0.014,0.005,0.282666667,0.7475,154
10,1102N31800,1LL000312700,391,494,37,AB/A,ZF4H6100,1237,18173,264,74.99,0.261,1097,822,10.2,3.52,7.352,0.17,0.21,0.59,0.03,0,0,0.002,0.02,0.03,0.03,0.01,0.009,0.0052,0.279666667,0.799166667,275
