,材料,试批号,实验屈服值,实验抗拉值,实验伸长率,牌号,钢种,出炉温度,加热时间,板坯厚度,中间坯厚度,粗轧压下率,精轧开轧温度,终轧温度,成品厚度,粗轧压缩比,精轧压缩比,C,Si,Mn,AlT,Nb,V,Ti,Ni,Cu,Cr,Mo,P,S,Ceq,Pcm,温度差
1,0C31P26500,0LL007906500,323,460,31.5,SS400,ZF4H6100,1167,12031,264,89.99,0.254,858,821,31.5,2.934,2.857,0.17,0.12,0.59,0.02,0.001,0.001,0.002,0.01,0.01,0.02,0.01,0.025,0.0018,0.275866667,0.775766667,37
2,0C31P34500,0LL007906600,334,451,31,SS400,ZF4H6100,1162,11776,264,90,0.256,869,834,31.6,2.933,2.848,0.17,0.12,0.59,0.02,0.001,0.001,0.002,0.01,0.01,0.02,0.01,0.025,0.0018,0.275866667,0.775766667,35
3,0C31P56C00,0LL007957000,362,471,24,SS400,ZF4H6100,1215,12273,264,69.99,0.252,1023,815,11.5,3.772,6.086,0.16,0.12,0.53,0.032,0.001,0,0.002,0.01,0.01,0.03,0.01,0.022,0.0022,0.257666667,0.706166667,208
4,0C31P59800,0LL007957100,326,454,26.5,SS400,ZF4H6100,1185,13082,264,70,0.284,1006,833,15.4,3.771,4.545,0.16,0.12,0.53,0.032,0.001,0,0.002,0.01,0.01,0.03,0.01,0.022,0.0022,0.257666667,0.706166667,173
5,0C31P60800,0LL007957200,364,450,23,SS400,ZF4H6100,1193,13065,264,75,0.232,979,838,19.4,3.52,3.866,0.16,0.12,0.53,0.032,0.001,0,0.002,0.01,0.01,0.03,0.01,0.022,0.0022,0.257666667,0.706166667,141
6,0C31P64800,0LL007957300,356,463,25,SS400,ZF4H6100,1199,13444,264,69.99,0.231,926,813,24.4,3.772,2.868,0.16,0.12,0.53,0.032,0.001,0,0.002,0.01,0.01,0.03,0.01,0.022,0.0022,0.257666667,0.706166667,113
7,0C31P65C00,0LL007957900,371,477,26,SS400,ZF4H6100,1219,11862,264,79.99,0.228,1100,830,9.5,3.3,8.42,0.18,0.11,0.51,0.028,0.001,0,0.002,0.01,0.02,0.04,0.01,0.019,0.0079,0.277,0.716333333,270
8,0C31P72800,0LL007958000,350,475,23,SS400,ZF4H6100,1184,13340,264,70,0.234,923,822,24.4,3.771,2.869,0.18,0.11,0.51,0.028,0.001,0,0.002,0.01,0.02,0.04,0.01,0.019,0.0079,0.277,0.716333333,101
9,0C31P79400,0LL007958100,359,456,23,SS400,ZF4H6100,1202,13350,264,89.99,0.219,925,869,31.7,2.934,2.839,0.18,0.11,0.51,0.028,0.001,0,0.002,0.01,0.02,0.04,0.01,0.019,0.0079,0.277,0.716333333,56
10,0C31P81500,0LL007958200,307,436,26,SS400,ZF4H6100,1192,12083,264,90,0.254,905,836,35.6,2.933,2.528,0.18,0.11,0.51,0.028,0.001,0,0.002,0.01,0.02,0.04,0.01,0.019,0.0079,0.277,0.716333333,69
